Column_Data_00
    step      time[sec]       Fx[04]        Fy[04]        Fz[04]
     299   4.983333e+01   5.1845e-05    6.8655e-09    0.0000e+00
     300   5.000000e+01   2.4535e-05    7.0674e-09    0.0000e+00
     301   5.016667e+01  -2.1369e-06    8.7232e-09    0.0000e+00
     302   5.033333e+01  -2.7857e-05    4.4424e-09    0.0000e+00
     303   5.050000e+01  -5.2323e-05    6.7847e-09    0.0000e+00
     304   5.066666e+01  -7.5266e-05    8.6020e-09    0.0000e+00
     305   5.083333e+01  -9.6435e-05    7.9559e-09    0.0000e+00
     306   5.100000e+01  -1.1561e-04    2.0193e-09    0.0000e+00
     307   5.116667e+01  -1.3258e-04    5.9770e-09    0.0000e+00
     308   5.133334e+01  -1.4717e-04    7.0270e-09    0.0000e+00
     309   5.150000e+01  -1.5930e-04    6.1385e-09    0.0000e+00
     310   5.166667e+01  -1.6877e-04    4.5635e-09    0.0000e+00
     311   5.183334e+01  -1.7555e-04    5.8558e-09    0.0000e+00
     312   5.200000e+01  -1.7964e-04    7.0270e-09    0.0000e+00
     313   5.216667e+01  -1.8012e-04    1.8173e-09    0.0000e+00
     314   5.233334e+01  -1.8060e-04    6.4212e-09    0.0000e+00
     315   5.250000e+01  -1.7621e-04    3.9577e-09    0.0000e+00
     316   5.266667e+01  -1.6985e-04    4.0385e-10    0.0000e+00
     317   5.283334e+01  -1.6114e-04    9.0866e-09    0.0000e+00
     318   5.300000e+01  -1.5025e-04    2.0596e-09    0.0000e+00
     319   5.316667e+01  -1.3735e-04    3.1096e-09    0.0000e+00
     320   5.333334e+01  -1.2266e-04    2.8270e-10    0.0000e+00
     321   5.350000e+01  -1.0639e-04    3.1096e-09    0.0000e+00
     322   5.366667e+01  -8.8774e-05    1.9789e-09    0.0000e+00
     323   5.383333e+01  -7.0060e-05    4.0789e-09    0.0000e+00
     324   5.400000e+01  -5.0516e-05    3.5943e-09    0.0000e+00
     325   5.416667e+01  -3.0403e-05    4.2404e-09    0.0000e+00
     326   5.433333e+01  -9.9750e-06    4.2808e-09    0.0000e+00
     327   5.450000e+01   1.0526e-05    4.6039e-09    0.0000e+00
     328   5.466667e+01   3.0856e-05    1.6154e-09    0.0000e+00
     329   5.483333e+01   5.0796e-05    4.4020e-09    0.0000e+00
     330   5.500000e+01   7.0107e-05    2.9885e-09    0.0000e+00
     331   5.516666e+01   8.8589e-05    3.4731e-09    0.0000e+00
     332   5.533333e+01   1.0605e-04    6.0578e-10    0.0000e+00
     333   5.550000e+01   1.2230e-04    0.0000e+00    0.0000e+00
     334   5.566667e+01   1.3720e-04    2.4231e-10    0.0000e+00
     335   5.583334e+01   1.5062e-04    2.4231e-09    0.0000e+00
     336   5.600000e+01   1.6248e-04    2.3423e-09    0.0000e+00
     337   5.616667e+01   1.7272e-04    1.2923e-09    0.0000e+00
     338   5.633334e+01   1.8130e-04   -1.5346e-09    0.0000e+00
     339   5.650000e+01   1.8822e-04    6.0578e-10    0.0000e+00
     340   5.666667e+01   1.9347e-04    1.3933e-09    0.0000e+00
     341   5.683334e+01   1.9714e-04   -8.0770e-11    0.0000e+00
     342   5.700000e+01   1.9928e-04   -1.4337e-09    0.0000e+00
     343   5.716667e+01   2.0000e-04   -5.8558e-10    0.0000e+00
     344   5.733334e+01   1.9940e-04    3.8366e-10    0.0000e+00
     345   5.750000e+01   1.9759e-04   -6.7645e-10    0.0000e+00
     346   5.766667e+01   1.9473e-04   -3.9375e-10    0.0000e+00
     347   5.783334e+01   1.9097e-04   -1.0096e-09    0.0000e+00
     348   5.800000e+01   1.8650e-04   -7.5722e-10    0.0000e+00
     349   5.816667e+01   1.8148e-04   -1.5876e-09    0.0000e+00
     350   5.833333e+01   1.7611e-04   -1.3021e-09    0.0000e+00
     351   5.850000e+01   1.7058e-04   -1.7567e-09    0.0000e+00
     352   5.866667e+01   1.6507e-04   -1.5043e-09    0.0000e+00
     353   5.883333e+01   1.5977e-04   -2.4635e-09    0.0000e+00
     354   5.900000e+01   1.5487e-04   -1.7265e-09    0.0000e+00
     355   5.916667e+01   1.5053e-04   -2.6351e-09    0.0000e+00
     356   5.933333e+01   1.4692e-04   -1.2923e-09    0.0000e+00
     357   5.950000e+01   1.4418e-04   -1.2923e-09    0.0000e+00
     358   5.966666e+01   1.4244e-04   -1.6558e-09    0.0000e+00
     359   5.983333e+01   1.4181e-04   -1.2923e-09    0.0000e+00
     360   6.000000e+01   1.4238e-04   -1.3125e-09    0.0000e+00
     361   6.016667e+01   1.4426e-04   -4.0385e-10    0.0000e+00
     362   6.033334e+01   1.4747e-04   -1.7769e-09    0.0000e+00
     363   6.050000e+01   1.5205e-04   -1.9789e-09    0.0000e+00
     364   6.066667e+01   1.5799e-04   -3.5135e-09    0.0000e+00
     365   6.083334e+01   1.6530e-04   -7.2693e-10    0.0000e+00
     366   6.100000e+01   1.7393e-04   -3.4731e-09    0.0000e+00
     367   6.116667e+01   1.8386e-04   -8.4809e-10    0.0000e+00
     368   6.133334e+01   1.9498e-04    7.2693e-10    0.0000e+00
     369   6.150000e+01   2.0722e-04   -9.6924e-10    0.0000e+00
     370   6.166667e+01   2.2046e-04   -4.0385e-10    0.0000e+00
     371   6.183334e+01   2.3456e-04   -2.0193e-10    0.0000e+00
     372   6.200000e+01   2.4939e-04    7.6732e-10    0.0000e+00
     373   6.216667e+01   2.6478e-04    7.2693e-10    0.0000e+00
     374   6.233334e+01   2.8060e-04   -2.7462e-09    0.0000e+00
     375   6.250000e+01   2.9667e-04   -1.9789e-09    0.0000e+00
     376   6.266667e+01   3.1283e-04    4.0385e-10    0.0000e+00
     377   6.283333e+01   3.2889e-04   -1.4539e-09    0.0000e+00
     378   6.300000e+01   3.4469e-04   -2.1808e-09    0.0000e+00
     379   6.316667e+01   3.6005e-04    8.8847e-10    0.0000e+00
     380   6.333333e+01   3.7481e-04   -1.2116e-09    0.0000e+00
     381   6.350000e+01   3.8880e-04   -1.8577e-09    0.0000e+00
     382   6.366667e+01   4.0192e-04   -1.4539e-09    0.0000e+00
     383   6.383333e+01   4.1397e-04   -3.0693e-09    0.0000e+00
     384   6.400000e+01   4.2485e-04    9.6924e-10    0.0000e+00
     385   6.416666e+01   4.3447e-04    1.7769e-09    0.0000e+00
     386   6.433334e+01   4.4272e-04    2.1808e-09    0.0000e+00
     387   6.450000e+01   4.4950e-04    1.2116e-09    0.0000e+00
     388   6.466667e+01   4.5480e-04   -4.7654e-09    0.0000e+00
